;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
952;(662, 79);(685, 145);(684, 124);(662, 235);(640, 326);(707, 145);(685, 236);(639, 303);(685, 304);(639, 438);(617, 573);(729, 325);(752, 461);(775, 596);(640, 78);(662, 78);(684, 78);(706, 78);(124, 0)
953;(662, 79);(685, 145);(684, 145);(662, 235);(617, 303);(707, 145);(684, 236);(617, 303);(685, 326);(640, 438);(595, 573);(729, 325);(752, 461);(797, 596);(661, 78);(662, 78);(684, 79);(706, 78);(124, 0)
954;(662, 100);(685, 146);(684, 146);(662, 236);(617, 281);(707, 146);(684, 236);(595, 303);(685, 325);(640, 439);(594, 573);(729, 325);(752, 461);(819, 596);(662, 78);(662, 78);(684, 101);(707, 78);(124, 0)
955;(662, 101);(706, 146);(684, 146);(662, 236);(639, 236);(707, 146);(684, 236);(595, 281);(685, 326);(639, 439);(595, 573);(729, 326);(752, 461);(841, 595);(640, 100);(662, 78);(684, 101);(707, 79);(124, 0)
956;(662, 101);(685, 146);(684, 146);(662, 236);(639, 236);(707, 146);(684, 236);(595, 281);(685, 326);(639, 460);(595, 574);(707, 326);(752, 483);(842, 573);(640, 100);(662, 79);(684, 101);(707, 100);(124, 0)
957;(662, 101);(685, 146);(684, 146);(662, 236);(617, 326);(707, 146);(684, 236);(595, 303);(684, 326);(639, 460);(617, 574);(707, 326);(751, 483);(842, 573);(640, 100);(662, 78);(684, 101);(707, 100);(101, 0)
958;(662, 100);(685, 146);(684, 146);(662, 236);(617, 304);(707, 146);(684, 236);(617, 303);(684, 326);(640, 439);(639, 574);(707, 326);(729, 483);(841, 551);(640, 79);(662, 78);(684, 101);(707, 79);(101, 0)
959;(662, 100);(685, 146);(684, 146);(662, 236);(617, 281);(707, 146);(685, 236);(617, 303);(685, 326);(640, 460);(640, 596);(707, 326);(707, 483);(819, 551);(661, 78);(662, 78);(684, 101);(707, 79);(101, 0)
960;(662, 79);(707, 146);(685, 145);(684, 236);(640, 303);(707, 146);(706, 236);(639, 303);(685, 325);(662, 461);(662, 596);(707, 325);(685, 461);(797, 551);(640, 78);(662, 78);(684, 79);(707, 78);(124, 0)
961;(662, 79);(707, 145);(685, 145);(684, 235);(662, 325);(707, 145);(707, 236);(662, 304);(706, 303);(662, 461);(685, 596);(729, 304);(684, 461);(774, 551);(640, 78);(662, 78);(684, 78);(707, 78);(124, 0)
962;(662, 78);(707, 124);(685, 124);(684, 214);(640, 258);(707, 124);(707, 236);(684, 325);(707, 303);(685, 439);(707, 551);(707, 303);(662, 460);(751, 551);(640, 78);(662, 78);(684, 78);(707, 78);(124, 0)
963;(662, 78);(707, 124);(685, 124);(685, 236);(640, 258);(707, 124);(729, 236);(707, 325);(707, 303);(707, 461);(729, 595);(707, 304);(662, 460);(707, 596);(640, 78);(662, 78);(684, 78);(707, 78);(124, 0)
964;(662, 78);(707, 145);(685, 145);(685, 236);(640, 258);(729, 145);(730, 236);(729, 326);(729, 325);(729, 460);(752, 574);(707, 325);(640, 439);(662, 596);(640, 78);(662, 78);(684, 78);(707, 78);(124, 0)
965;(662, 78);(707, 146);(684, 146);(685, 236);(640, 259);(729, 145);(751, 236);(752, 326);(729, 326);(730, 461);(774, 595);(707, 326);(640, 439);(639, 595);(640, 78);(662, 78);(684, 78);(707, 78);(146, 0)
