;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
1064;(325, 146);(370, 191);(415, 191);(482, 258);(460, 191);(325, 191);(280, 236);(213, 214);(393, 326);(370, 483);(326, 641);(348, 326);(370, 483);(415, 596);(325, 146);(325, 124);(392, 146);(347, 146);(0, 0)
1065;(325, 146);(370, 191);(415, 191);(482, 258);(460, 191);(325, 191);(281, 258);(235, 214);(415, 348);(392, 483);(325, 641);(348, 348);(370, 483);(415, 596);(325, 146);(347, 146);(392, 146);(347, 146);(0, 0)
1066;(325, 146);(370, 191);(415, 191);(482, 258);(460, 191);(325, 191);(302, 258);(235, 214);(415, 348);(392, 483);(437, 618);(370, 348);(370, 484);(347, 641);(325, 146);(326, 146);(392, 146);(347, 146);(0, 0)
1067;(325, 146);(370, 191);(415, 191);(482, 258);(460, 191);(347, 191);(303, 258);(235, 214);(415, 348);(371, 505);(437, 618);(370, 348);(370, 505);(348, 641);(370, 146);(325, 146);(392, 146);(347, 146);(0, 0)
1068;(347, 168);(370, 191);(415, 191);(482, 258);(460, 213);(347, 191);(325, 258);(236, 214);(415, 348);(415, 483);(393, 618);(370, 348);(370, 483);(393, 596);(370, 146);(325, 146);(392, 146);(347, 146);(0, 0)
1069;(347, 168);(370, 191);(415, 191);(482, 258);(482, 303);(347, 191);(303, 258);(236, 235);(415, 348);(415, 484);(415, 596);(370, 349);(370, 505);(415, 596);(370, 146);(325, 146);(392, 146);(347, 146);(0, 0)
1070;(347, 168);(371, 191);(415, 191);(482, 258);(483, 281);(347, 191);(303, 259);(236, 235);(415, 348);(415, 483);(482, 595);(370, 349);(370, 506);(437, 618);(347, 168);(326, 146);(392, 146);(347, 146);(0, 0)
1071;(347, 168);(370, 191);(415, 191);(482, 258);(483, 281);(347, 191);(303, 280);(235, 236);(415, 348);(415, 483);(483, 506);(370, 349);(370, 505);(437, 618);(348, 168);(326, 146);(392, 146);(347, 146);(0, 0)
1072;(325, 146);(370, 191);(415, 191);(482, 258);(483, 281);(347, 191);(303, 280);(235, 236);(415, 348);(415, 483);(483, 506);(370, 349);(370, 505);(438, 618);(347, 168);(325, 146);(392, 146);(347, 146);(0, 0)
1073;(325, 146);(370, 191);(415, 191);(482, 258);(482, 281);(347, 191);(302, 280);(235, 236);(415, 348);(415, 461);(460, 506);(370, 348);(392, 483);(438, 618);(347, 168);(325, 146);(392, 146);(347, 146);(0, 0)
1074;(325, 146);(370, 191);(415, 191);(482, 258);(482, 281);(326, 191);(280, 280);(235, 235);(415, 348);(370, 483);(438, 618);(370, 348);(392, 484);(438, 618);(325, 146);(326, 146);(392, 146);(347, 146);(0, 0)
1075;(325, 146);(370, 191);(415, 191);(482, 258);(460, 213);(325, 191);(280, 259);(213, 213);(415, 348);(325, 461);(393, 618);(370, 348);(371, 483);(438, 618);(325, 146);(325, 145);(392, 146);(347, 146);(0, 0)
1076;(325, 146);(370, 191);(415, 191);(482, 258);(460, 213);(325, 191);(258, 258);(213, 213);(415, 348);(325, 461);(438, 618);(370, 348);(393, 484);(437, 596);(325, 168);(325, 124);(392, 146);(326, 145);(0, 0)
1077;(325, 146);(370, 191);(415, 191);(460, 258);(460, 213);(325, 190);(258, 258);(213, 191);(393, 348);(325, 461);(303, 596);(370, 348);(392, 483);(437, 618);(325, 146);(325, 124);(370, 124);(325, 124);(0, 0)
1078;(325, 146);(370, 190);(393, 190);(460, 258);(460, 213);(325, 169);(257, 236);(213, 191);(392, 348);(325, 461);(303, 596);(348, 348);(392, 483);(437, 618);(325, 146);(303, 123);(370, 124);(325, 124);(0, 0)
1079;(325, 146);(348, 169);(393, 190);(460, 258);(460, 213);(303, 169);(235, 236);(191, 190);(392, 326);(325, 461);(303, 596);(348, 348);(370, 483);(437, 618);(325, 146);(303, 123);(370, 123);(325, 124);(0, 0)
1080;(303, 124);(348, 169);(392, 169);(459, 258);(460, 213);(303, 168);(235, 235);(191, 168);(370, 326);(325, 461);(303, 596);(326, 326);(370, 483);(415, 596);(303, 123);(303, 123);(370, 123);(325, 123);(0, 0)
1081;(303, 124);(347, 169);(392, 169);(438, 258);(460, 213);(303, 168);(213, 214);(191, 168);(370, 326);(325, 483);(303, 596);(325, 326);(370, 483);(415, 596);(303, 124);(303, 123);(370, 124);(325, 123);(0, 0)
1082;(303, 145);(347, 168);(392, 169);(438, 258);(460, 213);(302, 168);(213, 213);(190, 168);(370, 326);(325, 483);(303, 596);(325, 326);(348, 483);(392, 596);(303, 145);(303, 123);(348, 123);(303, 123);(0, 0)
1083;(303, 146);(326, 168);(370, 169);(438, 236);(460, 213);(280, 168);(212, 213);(190, 168);(348, 326);(325, 483);(303, 596);(325, 326);(348, 483);(392, 618);(303, 146);(302, 123);(348, 123);(303, 123);(0, 0)
1084;(303, 146);(325, 168);(370, 169);(437, 236);(460, 213);(280, 168);(191, 213);(190, 168);(348, 326);(303, 483);(303, 596);(325, 326);(348, 483);(392, 618);(303, 146);(302, 123);(347, 123);(303, 123);(0, 0)
1085;(213, 236);(325, 168);(370, 169);(437, 236);(460, 213);(280, 168);(191, 213);(190, 168);(348, 326);(303, 461);(303, 596);(303, 326);(348, 483);(392, 618);(348, 213);(281, 123);(347, 124);(302, 123);(0, 0)
1086;(280, 145);(325, 169);(370, 190);(437, 236);(460, 213);(280, 168);(191, 213);(191, 168);(347, 326);(303, 483);(302, 596);(325, 348);(348, 483);(392, 618);(280, 168);(281, 123);(347, 124);(303, 123);(0, 0)
1087;(280, 146);(325, 169);(370, 190);(437, 236);(459, 213);(258, 168);(191, 213);(213, 168);(347, 326);(303, 483);(280, 596);(303, 348);(348, 483);(392, 618);(280, 168);(281, 124);(347, 145);(303, 124);(0, 0)
1088;(347, 146);(303, 169);(258, 168);(190, 214);(212, 190);(348, 191);(437, 236);(438, 213);(325, 326);(302, 483);(280, 618);(303, 348);(347, 483);(370, 618);(325, 146);(325, 168);(325, 145);(280, 124);(0, 0)
