;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
613;(729, 101);(684, 169);(639, 168);(594, 280);(662, 326);(729, 169);(819, 169);(886, 145);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
614;(729, 101);(684, 169);(639, 168);(573, 280);(662, 326);(729, 169);(819, 169);(886, 145);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
615;(729, 101);(684, 169);(639, 168);(572, 280);(662, 326);(729, 169);(819, 169);(865, 146);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
616;(729, 101);(684, 169);(639, 168);(572, 259);(662, 326);(729, 169);(819, 169);(865, 145);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
617;(729, 101);(684, 169);(639, 168);(572, 259);(640, 326);(729, 169);(819, 168);(865, 145);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
618;(729, 101);(684, 169);(639, 169);(572, 259);(640, 326);(729, 169);(819, 168);(865, 145);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
619;(729, 101);(684, 169);(639, 169);(572, 259);(640, 326);(729, 169);(819, 168);(865, 145);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
620;(729, 101);(684, 169);(639, 169);(572, 258);(640, 326);(729, 169);(819, 168);(886, 124);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
621;(729, 101);(684, 169);(639, 169);(572, 258);(640, 326);(729, 169);(819, 168);(865, 124);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
622;(729, 101);(684, 169);(639, 169);(572, 258);(639, 326);(729, 169);(819, 168);(864, 124);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
623;(729, 101);(684, 169);(640, 169);(572, 258);(639, 326);(729, 169);(819, 168);(865, 124);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
624;(729, 101);(684, 169);(640, 169);(572, 258);(639, 326);(729, 169);(819, 168);(865, 124);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
625;(729, 101);(684, 169);(640, 169);(572, 258);(639, 326);(729, 169);(819, 168);(864, 124);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
626;(729, 101);(684, 169);(640, 168);(572, 258);(618, 326);(729, 169);(819, 168);(864, 123);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
627;(729, 101);(684, 169);(640, 168);(572, 258);(617, 326);(729, 169);(797, 168);(864, 123);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
628;(729, 101);(684, 169);(640, 169);(572, 258);(617, 326);(729, 169);(797, 168);(864, 123);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
629;(729, 101);(684, 169);(640, 168);(572, 258);(617, 326);(729, 169);(797, 168);(864, 123);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
630;(729, 101);(684, 169);(640, 168);(572, 258);(617, 326);(729, 169);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
631;(729, 101);(684, 169);(640, 168);(572, 258);(617, 326);(729, 169);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
632;(729, 101);(684, 169);(640, 168);(572, 258);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
633;(729, 101);(684, 168);(640, 168);(572, 258);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
634;(729, 101);(684, 168);(640, 168);(572, 258);(617, 326);(729, 168);(797, 168);(865, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(145, 0)
635;(729, 101);(684, 168);(640, 168);(572, 258);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
636;(729, 101);(684, 168);(640, 168);(572, 258);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
637;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
638;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
