;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
460;(707, 123);(707, 213);(661, 213);(639, 303);(617, 393);(774, 213);(797, 303);(819, 393);(684, 393);(684, 528);(729, 663);(752, 393);(730, 528);(707, 640);(685, 101);(707, 101);(684, 123);(729, 123);(0, 0)
461;(707, 123);(707, 213);(661, 213);(639, 303);(617, 393);(774, 213);(797, 303);(819, 393);(684, 393);(684, 528);(729, 663);(752, 393);(730, 528);(707, 640);(685, 101);(707, 101);(684, 123);(729, 124);(0, 0)
462;(684, 123);(685, 213);(639, 213);(617, 325);(595, 393);(752, 213);(775, 303);(797, 393);(662, 393);(662, 506);(707, 663);(729, 393);(707, 506);(640, 618);(662, 123);(685, 123);(662, 145);(707, 124);(0, 0)
463;(662, 124);(662, 214);(617, 235);(595, 325);(594, 393);(729, 213);(752, 304);(775, 393);(639, 393);(639, 528);(706, 641);(707, 393);(662, 528);(617, 619);(640, 123);(662, 123);(639, 146);(685, 146);(0, 0)
464;(639, 146);(661, 235);(595, 236);(594, 326);(572, 393);(707, 235);(752, 325);(752, 393);(617, 393);(595, 506);(684, 641);(684, 394);(639, 528);(595, 619);(639, 124);(662, 124);(617, 146);(684, 146);(0, 0)
465;(617, 146);(639, 236);(572, 236);(572, 326);(549, 393);(685, 236);(729, 326);(730, 394);(595, 394);(550, 506);(639, 640);(662, 416);(617, 529);(572, 641);(617, 145);(639, 145);(595, 168);(662, 146);(0, 0)
466;(595, 146);(617, 236);(572, 236);(550, 326);(527, 393);(662, 236);(707, 326);(707, 415);(572, 394);(527, 484);(595, 618);(640, 416);(617, 528);(595, 618);(594, 146);(617, 146);(572, 168);(639, 168);(0, 0)
467;(595, 146);(617, 236);(572, 236);(550, 326);(527, 393);(662, 236);(707, 326);(707, 415);(572, 394);(527, 484);(595, 618);(640, 416);(617, 528);(595, 618);(594, 146);(617, 146);(572, 168);(639, 168);(0, 0)
468;(572, 146);(595, 236);(550, 236);(527, 304);(505, 393);(662, 235);(684, 326);(662, 393);(572, 393);(505, 483);(550, 618);(639, 394);(595, 528);(594, 640);(572, 145);(594, 145);(550, 168);(617, 146);(0, 0)
469;(572, 145);(572, 214);(527, 235);(505, 303);(482, 370);(639, 213);(662, 304);(595, 371);(550, 393);(482, 483);(527, 596);(617, 393);(595, 528);(573, 641);(550, 123);(572, 123);(549, 146);(595, 145);(0, 0)
470;(549, 123);(550, 213);(505, 213);(483, 281);(459, 348);(617, 191);(617, 303);(550, 326);(527, 371);(460, 483);(505, 618);(595, 371);(595, 506);(594, 641);(527, 123);(550, 123);(527, 124);(572, 123);(0, 0)
471;(527, 123);(528, 191);(504, 191);(482, 281);(437, 325);(594, 190);(594, 281);(505, 303);(527, 349);(460, 461);(460, 618);(594, 370);(594, 505);(595, 641);(505, 101);(527, 101);(505, 123);(550, 123);(0, 0)
472;(505, 123);(527, 191);(482, 191);(482, 259);(415, 303);(572, 169);(550, 259);(460, 280);(505, 349);(437, 461);(437, 596);(572, 370);(594, 505);(595, 640);(483, 101);(505, 101);(482, 123);(549, 123);(0, 0)
473;(505, 123);(527, 191);(482, 191);(482, 259);(415, 303);(572, 169);(550, 259);(460, 280);(505, 349);(437, 461);(437, 596);(572, 370);(594, 505);(595, 640);(483, 101);(505, 101);(482, 123);(549, 123);(0, 0)
474;(482, 123);(505, 191);(460, 191);(482, 259);(415, 280);(527, 190);(527, 258);(438, 258);(483, 370);(415, 483);(393, 618);(550, 371);(572, 484);(617, 619);(482, 101);(504, 101);(460, 123);(527, 123);(0, 0)
475;(460, 123);(483, 191);(460, 191);(460, 258);(415, 258);(527, 191);(460, 258);(393, 258);(482, 371);(415, 483);(370, 618);(528, 371);(572, 506);(617, 619);(460, 123);(482, 123);(438, 123);(505, 123);(0, 0)
476;(438, 146);(482, 191);(460, 213);(415, 259);(415, 258);(504, 191);(437, 258);(392, 258);(460, 371);(393, 505);(348, 618);(527, 371);(572, 506);(639, 640);(437, 124);(460, 123);(482, 168);(482, 146);(0, 0)
477;(415, 168);(460, 214);(460, 213);(393, 258);(393, 258);(482, 214);(393, 259);(370, 258);(438, 393);(392, 506);(639, 641);(505, 393);(572, 528);(348, 641);(415, 146);(437, 146);(437, 146);(460, 168);(0, 0)
478;(393, 190);(438, 236);(437, 236);(370, 303);(370, 258);(460, 236);(370, 281);(348, 258);(437, 416);(348, 506);(325, 641);(482, 416);(550, 528);(639, 641);(393, 168);(415, 168);(437, 213);(438, 190);(0, 0)
479;(393, 190);(438, 236);(437, 236);(370, 303);(370, 258);(460, 236);(370, 281);(348, 258);(437, 416);(348, 506);(325, 641);(482, 416);(550, 528);(639, 641);(393, 168);(415, 168);(437, 213);(438, 190);(0, 0)
480;(370, 191);(415, 258);(415, 258);(348, 326);(348, 280);(437, 259);(326, 303);(325, 258);(415, 438);(325, 506);(325, 641);(460, 438);(549, 551);(639, 641);(370, 191);(392, 191);(415, 438);(415, 213);(0, 0)
481;(370, 213);(415, 280);(415, 259);(325, 348);(325, 281);(393, 281);(325, 325);(325, 281);(393, 438);(303, 506);(325, 641);(438, 438);(527, 551);(325, 664);(370, 191);(370, 191);(393, 213);(415, 213);(0, 0)
482;(348, 191);(393, 258);(393, 258);(347, 348);(325, 303);(392, 259);(325, 326);(303, 281);(392, 438);(303, 506);(325, 641);(437, 438);(483, 551);(325, 663);(348, 191);(370, 191);(370, 191);(393, 191);(0, 0)
483;(325, 191);(392, 258);(393, 258);(348, 326);(303, 303);(370, 258);(347, 326);(303, 303);(370, 416);(303, 528);(325, 641);(415, 416);(438, 573);(572, 618);(325, 169);(347, 169);(370, 191);(370, 191);(0, 0)
484;(325, 168);(370, 236);(370, 236);(370, 326);(303, 304);(392, 236);(370, 326);(302, 326);(370, 416);(303, 506);(325, 641);(415, 416);(393, 551);(527, 596);(347, 168);(326, 168);(348, 168);(370, 168);(0, 0)
485;(325, 168);(370, 236);(370, 236);(370, 326);(303, 304);(392, 236);(370, 326);(302, 326);(370, 416);(303, 506);(325, 641);(415, 416);(393, 551);(527, 596);(325, 168);(326, 168);(348, 168);(370, 168);(0, 0)
486;(303, 168);(370, 236);(348, 236);(347, 303);(281, 348);(392, 235);(393, 326);(325, 349);(370, 393);(303, 506);(325, 641);(393, 394);(348, 528);(482, 595);(303, 146);(325, 146);(370, 191);(348, 168);(0, 0)
487;(303, 146);(370, 235);(325, 236);(325, 304);(280, 348);(392, 213);(415, 303);(348, 371);(370, 393);(303, 505);(325, 641);(393, 393);(325, 505);(437, 573);(303, 146);(325, 146);(370, 169);(348, 146);(0, 0)
488;(303, 146);(370, 235);(325, 236);(325, 304);(280, 371);(393, 213);(415, 304);(392, 371);(348, 371);(258, 439);(392, 551);(393, 393);(303, 483);(325, 641);(303, 146);(325, 146);(370, 191);(348, 146);(0, 0)
489;(303, 146);(348, 236);(325, 236);(303, 325);(280, 371);(393, 214);(437, 304);(415, 371);(347, 371);(235, 394);(325, 506);(392, 393);(236, 416);(325, 506);(303, 146);(303, 146);(325, 146);(347, 146);(0, 0)
490;(303, 168);(348, 236);(303, 258);(303, 326);(281, 348);(393, 235);(438, 303);(437, 393);(347, 371);(235, 371);(325, 641);(392, 393);(303, 505);(325, 641);(302, 146);(303, 146);(325, 168);(347, 168);(0, 0)
491;(303, 168);(348, 236);(303, 258);(303, 326);(281, 349);(393, 235);(438, 303);(437, 393);(347, 371);(235, 371);(325, 641);(392, 393);(303, 505);(325, 641);(302, 146);(303, 146);(325, 168);(347, 168);(0, 0)
492;(302, 168);(348, 236);(303, 258);(303, 326);(303, 326);(393, 236);(460, 304);(437, 393);(325, 371);(235, 348);(325, 641);(370, 393);(302, 506);(325, 663);(281, 168);(303, 168);(347, 191);(347, 168);(0, 0)
493;(302, 169);(348, 258);(303, 258);(303, 326);(258, 303);(392, 236);(460, 304);(437, 393);(325, 371);(280, 528);(325, 641);(370, 394);(235, 348);(325, 663);(302, 168);(303, 168);(325, 168);(347, 169);(0, 0)
494;(281, 169);(348, 258);(303, 258);(303, 326);(281, 326);(392, 236);(438, 325);(415, 393);(325, 371);(235, 348);(325, 641);(370, 393);(235, 349);(325, 663);(281, 168);(303, 168);(303, 168);(347, 169);(0, 0)
495;(281, 168);(347, 258);(303, 258);(303, 326);(280, 348);(392, 236);(437, 325);(370, 371);(325, 393);(235, 393);(325, 641);(392, 393);(280, 506);(325, 506);(280, 168);(303, 168);(347, 191);(326, 168);(0, 0)
496;(280, 168);(347, 236);(303, 258);(303, 326);(258, 393);(370, 236);(415, 325);(347, 348);(348, 371);(302, 528);(325, 663);(392, 393);(258, 438);(370, 528);(280, 146);(302, 146);(347, 191);(325, 168);(0, 0)
497;(280, 168);(347, 236);(303, 258);(303, 326);(258, 371);(370, 236);(415, 325);(347, 348);(348, 371);(302, 528);(325, 641);(392, 393);(258, 438);(370, 528);(280, 146);(302, 146);(347, 191);(325, 168);(0, 0)
498;(280, 168);(347, 236);(303, 236);(325, 304);(257, 348);(370, 235);(370, 304);(303, 326);(348, 393);(302, 484);(325, 641);(392, 393);(303, 484);(415, 551);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
